"n1","n2","power","cost_used"
270,763,0.800066859197222,1303
271,753,0.800072289386242,1295
272,743,0.800038916796513,1287
273,734,0.80008447157641,1280
274,725,0.80009593761827,1273
275,716,0.800071435135494,1266
276,707,0.800009888074315,1259
277,699,0.800043417199161,1253
278,691,0.800044443089082,1247
279,683,0.800012163745475,1241
280,676,0.800088207725407,1236
281,669,0.800135786088575,1231
282,661,0.800005765822377,1225
283,655,0.800143147784846,1221
284,648,0.800101671121537,1216
285,641,0.800029189240255,1211
286,635,0.800086594058061,1207
287,629,0.800118335934795,1203
288,623,0.800123941233028,1199
289,617,0.800102919735345,1195
290,611,0.800054763298731,1191
291,606,0.800156598082863,1188
292,600,0.800056158344615,1184
293,595,0.800111423923219,1181
294,590,0.800144293805535,1178
295,585,0.800154541663151,1175
296,580,0.800141792142117,1172
297,575,0.800105669086293,1169
298,570,0.800045778819229,1166
299,566,0.800165740850213,1164
300,561,0.800060811948538,1161
301,557,0.800141719725642,1159
302,553,0.800204245606553,1157
303,548,0.800031148142729,1154
304,544,0.800053028628676,1152
305,540,0.800055797924067,1150
306,536,0.800039215863317,1148
307,532,0.8000030393276,1146
308,529,0.800180981863119,1145
309,525,0.800108441174293,1143
310,521,0.800015583614955,1141
311,518,0.800146277984798,1140
312,514,0.800015784016032,1138
313,511,0.800115117384148,1137
314,508,0.800200075664864,1136
315,504,0.800013425233638,1134
316,501,0.800066113689017,1133
317,498,0.800103990894915,1132
318,495,0.800126944463384,1131
319,492,0.800134841455017,1130
320,489,0.800127541652661,1129
321,486,0.800104917731948,1128
322,483,0.800066820755683,1127
323,480,0.800013146556566,1126
324,478,0.8002310557622,1126
325,475,0.800149288976448,1125
326,472,0.800051491883989,1124
327,470,0.800234920398735,1124
328,467,0.800108403329178,1123
329,465,0.80026938360732,1123
330,462,0.800113709519693,1122
331,460,0.800251970123386,1122
332,457,0.800066654992748,1121
333,455,0.800181907061931,1121
334,453,0.800287022499416,1121
335,450,0.80005838819267,1120
336,448,0.800140043598162,1120
337,446,0.800211367137144,1120
338,444,0.800272315935299,1120
339,442,0.800322844494399,1120
340,439,0.800022822723717,1119
341,437,0.800049193450357,1119
342,435,0.800064955942738,1119
343,433,0.800070047846616,1119
344,431,0.800064433122536,1119
345,429,0.800048051616676,1119
346,427,0.800020831635031,1119
347,426,0.800345894773791,1120
348,424,0.800300400896633,1120
349,422,0.8002438340142,1120
350,420,0.800176239304512,1120
351,418,0.800097536547769,1120
352,416,0.800007656563289,1120
353,415,0.800289510570313,1121
354,413,0.800180802825469,1121
355,411,0.800061053738456,1121
356,410,0.800322107888776,1122
357,408,0.800182983293121,1122
358,406,0.800032329526023,1122
359,405,0.800272507246651,1123
360,403,0.800102546104432,1123
361,402,0.800329460685276,1124
362,400,0.800140055643245,1124
363,399,0.800353681826984,1125
364,397,0.800144683287399,1125
365,396,0.800344992066884,1126
366,394,0.800116229228759,1126
367,393,0.800303272712746,1127
368,391,0.80005452619412,1127
369,390,0.8002280587241,1128
370,389,0.800396089747491,1129
371,387,0.800119460659409,1129
372,386,0.800273844127138,1130
373,385,0.800422841268651,1131
374,383,0.800117755163002,1131
375,382,0.800253222903721,1132
376,381,0.800383125073771,1133
377,379,0.800049277635207,1133
378,378,0.800165596799364,1134
379,377,0.800276339907855,1135
380,376,0.800381516515261,1136
381,374,0.800010461730759,1136
382,373,0.800101938233584,1137
383,372,0.800187729209481,1138
384,371,0.800268074632482,1139
385,370,0.800342842601998,1140
386,369,0.800412058311743,1141
387,368,0.800475688552871,1142
388,366,0.800041946585613,1142
389,365,0.800091658002896,1143
390,364,0.800135779393802,1144
391,363,0.800174303209912,1145
392,362,0.800207227616601,1146
393,361,0.800234552164672,1147
394,360,0.800256276049481,1148
395,359,0.800272395883893,1149
396,358,0.800282909445153,1150
397,357,0.800287998009454,1151
398,356,0.800287299777641,1152
399,355,0.800280976517671,1153
400,354,0.80026902186817,1154
401,353,0.800251433216872,1155
402,352,0.800228196007008,1156
403,351,0.800199288070487,1157
404,350,0.800164775403577,1158
405,349,0.800124567566503,1159
406,348,0.800078688169205,1160
407,347,0.80002713206646,1161
408,347,0.800521059482831,1163
409,346,0.800461338361856,1164
410,345,0.800396021262294,1165
411,344,0.800324917423598,1166
412,343,0.800248120613775,1167
413,342,0.800165619983045,1168
414,341,0.800077403906796,1169
415,341,0.800554551141462,1171
416,340,0.800458241714224,1172
417,339,0.80035621555597,1173
418,338,0.80024846306622,1174
419,337,0.800134968869418,1175
420,336,0.800015715748075,1176
421,336,0.80047912789179,1178
422,335,0.800351818531942,1179
423,334,0.800218732779688,1180
424,333,0.800079855304039,1181
425,333,0.800534468260011,1183
426,332,0.800387556573397,1184
427,331,0.800234700663362,1185
428,330,0.800076124703107,1186
429,330,0.800522314709955,1188
430,329,0.800355698134626,1189
431,328,0.800183090728152,1190
432,327,0.800004796213561,1191
433,327,0.800442446159311,1193
